section,type,part,subpart,title,effective_date,url,char_count
19.503,section,19,19.5,Reserves,,https://www.acquisition.gov/far/19.503,1742
19.504,section,19,19.5,Orders under multiple-award contracts,,https://www.acquisition.gov/far/19.504,3020
19.505,section,19,19.5,Limitations on subcontracting and nonmanufacturer rule,,https://www.acquisition.gov/far/19.505,8760
19.506,section,19,19.5,Documentation requirements,,https://www.acquisition.gov/far/19.506,935
19.507,section,19,19.5,Solicitation provisions and contract clauses,,https://www.acquisition.gov/far/19.507,4348
19.601,section,19,19.6,General,,https://www.acquisition.gov/far/19.601,1918
19.602,section,19,19.6,Procedures,,https://www.acquisition.gov/far/19.602,0
19.602-1,section,19,19.6,Referral,,https://www.acquisition.gov/far/19.602-1,2179
19.602-2,section,19,19.6,Issuing or denying a Certificate of Competency (COC),,https://www.acquisition.gov/far/19.602-2,2605
19.602-3,section,19,19.6,Resolving differences between the agency and the Small Business Administration,,https://www.acquisition.gov/far/19.602-3,3291
19.602-4,section,19,19.6,Awarding the contract,,https://www.acquisition.gov/far/19.602-4,1154
19.701,section,19,19.7,Definitions,,https://www.acquisition.gov/far/19.701,3284
19.702,section,19,19.7,Statutory requirements,,https://www.acquisition.gov/far/19.702,5900
19.703,section,19,19.7,Eligibility requirements for participating in the program,,https://www.acquisition.gov/far/19.703,4800
19.704,section,19,19.7,Subcontracting plan requirements,,https://www.acquisition.gov/far/19.704,11992
19.705,section,19,19.7,Responsibilities of the contracting officer under the subcontracting assistance program,,https://www.acquisition.gov/far/19.705,0
19.705-1,section,19,19.7,General,,https://www.acquisition.gov/far/19.705-1,1429
19.705-2,section,19,19.7,Determining the need for a subcontracting plan,,https://www.acquisition.gov/far/19.705-2,2964
19.705-3,section,19,19.7,Preparing the solicitation,,https://www.acquisition.gov/far/19.705-3,359
19.705-4,section,19,19.7,Reviewing the subcontracting plan,,https://www.acquisition.gov/far/19.705-4,5971
19.705-5,section,19,19.7,Awards involving subcontracting plans,,https://www.acquisition.gov/far/19.705-5,1434
19.705-6,section,19,19.7,Postaward responsibilities of the contracting officer,,https://www.acquisition.gov/far/19.705-6,3638
19.705-7,section,19,19.7,Compliance with the subcontracting plan,,https://www.acquisition.gov/far/19.705-7,10302
19.706,section,19,19.7,Responsibilities of the cognizant administrative contracting officer,,https://www.acquisition.gov/far/19.706,1895
19.707,section,19,19.7,The Small Business Administration’s role in carrying out the program,,https://www.acquisition.gov/far/19.707,1016
19.708,section,19,19.7,Contract clauses,,https://www.acquisition.gov/far/19.708,3763
19.800,section,19,19.8,General,,https://www.acquisition.gov/far/19.800,1651
19.801,section,19,19.8,[Reserved],,https://www.acquisition.gov/far/19.801,0
19.802,section,19,19.8,Determining eligibility for the 8(a) program,,https://www.acquisition.gov/far/19.802,473
19.803,section,19,19.8,Selecting acquisitions for the 8(a) Program,,https://www.acquisition.gov/far/19.803,3764
19.804,section,19,19.8,"Evaluation, offering, and acceptance",,https://www.acquisition.gov/far/19.804,0
19.804-1,section,19,19.8,Agency evaluation,,https://www.acquisition.gov/far/19.804-1,1416
19.804-2,section,19,19.8,Agency offering,,https://www.acquisition.gov/far/19.804-2,4302
19.804-3,section,19,19.8,SBA acceptance,,https://www.acquisition.gov/far/19.804-3,4151
19.804-4,section,19,19.8,Repetitive acquisitions,,https://www.acquisition.gov/far/19.804-4,529
19.804-5,section,19,19.8,Basic ordering agreements and blanket purchase agreements,,https://www.acquisition.gov/far/19.804-5,752
19.804-6,section,19,19.8,Indefinite delivery contracts,,https://www.acquisition.gov/far/19.804-6,2521
19.805,section,19,19.8,Competitive 8(a),,https://www.acquisition.gov/far/19.805,0
19.805-1,section,19,19.8,General,,https://www.acquisition.gov/far/19.805-1,2137
19.805-2,section,19,19.8,Procedures,,https://www.acquisition.gov/far/19.805-2,2054
19.806,section,19,19.8,Pricing the 8(a) contract,,https://www.acquisition.gov/far/19.806,956
19.807,section,19,19.8,Estimating fair market price,,https://www.acquisition.gov/far/19.807,1091
19.808,section,19,19.8,Contract negotiation,,https://www.acquisition.gov/far/19.808,0
19.808-1,section,19,19.8,Sole source,,https://www.acquisition.gov/far/19.808-1,1622
19.808-2,section,19,19.8,Competitive,,https://www.acquisition.gov/far/19.808-2,408
19.809,section,19,19.8,Preaward considerations,,https://www.acquisition.gov/far/19.809,0
19.809-1,section,19,19.8,Preaward survey,,https://www.acquisition.gov/far/19.809-1,390
19.809-2,section,19,19.8,Limitations on subcontracting and nonmanufacturer rule,,https://www.acquisition.gov/far/19.809-2,2920
19.810,section,19,19.8,SBA appeals,,https://www.acquisition.gov/far/19.810,2053
19.811,section,19,19.8,Preparing the contracts,,https://www.acquisition.gov/far/19.811,0
19.811-1,section,19,19.8,Sole source,,https://www.acquisition.gov/far/19.811-1,2655
19.811-2,section,19,19.8,Competitive,,https://www.acquisition.gov/far/19.811-2,601
19.811-3,section,19,19.8,Contract clauses,,https://www.acquisition.gov/far/19.811-3,1341
19.812,section,19,19.8,Contract administration,,https://www.acquisition.gov/far/19.812,3516
19.813,section,19,19.8,Protesting an 8(a) participant's eligibility or size status,,https://www.acquisition.gov/far/19.813,1104
19.814,section,19,19.8,Requesting a formal size determination (8(a) sole source requirements),,https://www.acquisition.gov/far/19.814,953
19.815,section,19,19.8,Release and notification requirements for non-8(a) procurement,,https://www.acquisition.gov/far/19.815,3797
19.816,section,19,19.8,Exiting the 8(a) program,,https://www.acquisition.gov/far/19.816,1082
19.1301,section,19,19.1,General,,https://www.acquisition.gov/far/19.1301,400
19.1302,section,19,19.1,[Reserved],,https://www.acquisition.gov/far/19.1302,0
19.1303,section,19,19.1,Status as a HUBZone small business concern,,https://www.acquisition.gov/far/19.1303,1048
19.1304,section,19,19.1,Exclusions,,https://www.acquisition.gov/far/19.1304,811
19.1305,section,19,19.1,HUBZone set-aside procedures,,https://www.acquisition.gov/far/19.1305,2494
19.1306,section,19,19.1,HUBZone sole-source awards,,https://www.acquisition.gov/far/19.1306,1184
19.1307,section,19,19.1,Price evaluation preference for HUBZone small business concerns,,https://www.acquisition.gov/far/19.1307,1531
19.1308,section,19,19.1,[Reserved],,https://www.acquisition.gov/far/19.1308,0
19.1309,section,19,19.1,Contract clauses,,https://www.acquisition.gov/far/19.1309,958
19.1401,section,19,19.1,General,,https://www.acquisition.gov/far/19.1401,401
19.1402,section,19,19.1,Applicability,,https://www.acquisition.gov/far/19.1402,106
19.1403,section,19,19.1,Status,,https://www.acquisition.gov/far/19.1403,1826
19.1404,section,19,19.1,Exclusions,,https://www.acquisition.gov/far/19.1404,744
19.1405,section,19,19.1,Set-aside procedures,,https://www.acquisition.gov/far/19.1405,3368
19.1406,section,19,19.1,Sole source awards,,https://www.acquisition.gov/far/19.1406,1621
19.1407,section,19,19.1,[Reserved],,https://www.acquisition.gov/far/19.1407,0
19.1408,section,19,19.1,Contract clauses,,https://www.acquisition.gov/far/19.1408,903
19.1500,section,19,19.1,General,,https://www.acquisition.gov/far/19.1500,595
19.1501,section,19,19.1,[Reserved],,https://www.acquisition.gov/far/19.1501,0
19.1502,section,19,19.1,Applicability,,https://www.acquisition.gov/far/19.1502,106
19.1503,section,19,19.1,Status,,https://www.acquisition.gov/far/19.1503,1451
19.1504,section,19,19.1,Exclusions,,https://www.acquisition.gov/far/19.1504,647
19.1505,section,19,19.1,Set-aside procedures,,https://www.acquisition.gov/far/19.1505,5340
19.1506,section,19,19.1,Women-Owned Small Business Program sole-source awards,,https://www.acquisition.gov/far/19.1506,2212
19.1507,section,19,19.1,[Reserved],,https://www.acquisition.gov/far/19.1507,0
19.1508,section,19,19.1,Contract clauses,,https://www.acquisition.gov/far/19.1508,1375
Part 20,part,20,,Reserved,,https://www.acquisition.gov/far/part-20,30
Part 21,part,21,,Reserved,,https://www.acquisition.gov/far/part-21,30
Part 22,part,22,,Application of Labor Laws to Government Acquisitions,,https://www.acquisition.gov/far/part-22,8917
22.1,subpart,22,22.1,Basic Labor Policies,,https://www.acquisition.gov/far/subpart-22.1,35
22.2,subpart,22,22.2,Convict Labor,,https://www.acquisition.gov/far/subpart-22.2,28
22.3,subpart,22,22.3,Contract Work Hours and Safety Standards Act,,https://www.acquisition.gov/far/subpart-22.3,59
22.4,subpart,22,22.4,Labor Standards for Contracts Involving Construction,,https://www.acquisition.gov/far/subpart-22.4,67
22.5,subpart,22,22.5,Use of Project Labor Agreements for Federal Construction Projects,,https://www.acquisition.gov/far/subpart-22.5,80
22.6,subpart,22,22.6,"Contracts for Materials, Supplies, Articles, and Equipment",,https://www.acquisition.gov/far/subpart-22.6,73
22.7,subpart,22,22.7,[Reserved],,https://www.acquisition.gov/far/subpart-22.7,25
22.8,subpart,22,22.8,Equal Employment Opportunity,,https://www.acquisition.gov/far/subpart-22.8,43
22.9,subpart,22,22.9,Nondiscrimination Because of Age,,https://www.acquisition.gov/far/subpart-22.9,47
22.10,subpart,22,22.10,Service Contract Labor Standards,,https://www.acquisition.gov/far/subpart-22.10,48
22.11,subpart,22,22.11,Professional Employee Compensation,,https://www.acquisition.gov/far/subpart-22.11,50
22.12,subpart,22,22.12,[Reserved],,https://www.acquisition.gov/far/subpart-22.12,26
22.13,subpart,22,22.13,Equal Opportunity for Veterans,,https://www.acquisition.gov/far/subpart-22.13,46
22.14,subpart,22,22.14,Employment of Workers with Disabilities,,https://www.acquisition.gov/far/subpart-22.14,55
22.15,subpart,22,22.15,Prohibition of Acquisition of Products Produced by Forced or Indentured Child Labor,,https://www.acquisition.gov/far/subpart-22.15,99
22.16,subpart,22,22.16,Notification of Employee Rights Under the National Labor Relations Act,,https://www.acquisition.gov/far/subpart-22.16,86
22.17,subpart,22,22.17,Combating Trafficking in Persons,,https://www.acquisition.gov/far/subpart-22.17,48
22.18,subpart,22,22.18,Employment Eligibility Verification,,https://www.acquisition.gov/far/subpart-22.18,51
22.19,subpart,22,22.19,Increasing the Minimum Wage for Contractors,,https://www.acquisition.gov/far/subpart-22.19,59
22.20,subpart,22,22.20,[Reserved],,https://www.acquisition.gov/far/subpart-22.20,26
22.21,subpart,22,22.21,Establishing Paid Sick Leave For Federal Contractors,,https://www.acquisition.gov/far/subpart-22.21,68
22.000,section,22,22,Scope of part,,https://www.acquisition.gov/far/22.000,292
22.001,section,22,22.0,Definitions,,https://www.acquisition.gov/far/22.001,1691
22.101,section,22,22.1,Labor relations,,https://www.acquisition.gov/far/22.101,0
22.101-1,section,22,22.1,General,,https://www.acquisition.gov/far/22.101-1,2461
22.101-2,section,22,22.1,Contract pricing and administration,,https://www.acquisition.gov/far/22.101-2,2318
22.101-3,section,22,22.1,Reporting labor disputes,,https://www.acquisition.gov/far/22.101-3,391
22.101-4,section,22,22.1,Removal of items from contractors’ facilities affected by work stoppages,,https://www.acquisition.gov/far/22.101-4,905
22.102,section,22,22.1,Federal and State labor requirements,,https://www.acquisition.gov/far/22.102,0
22.102-1,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.102-1,485
22.102-2,section,22,22.1,Administration,,https://www.acquisition.gov/far/22.102-2,1773
22.103,section,22,22.1,Overtime,,https://www.acquisition.gov/far/22.103,0
22.103-1,section,22,22.1,Definition,,https://www.acquisition.gov/far/22.103-1,401
22.103-2,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.103-2,356
22.103-3,section,22,22.1,Procedures,,https://www.acquisition.gov/far/22.103-3,948
22.103-4,section,22,22.1,Approvals,,https://www.acquisition.gov/far/22.103-4,2594
22.103-5,section,22,22.1,Contract clauses,,https://www.acquisition.gov/far/22.103-5,762
22.201,section,22,22.2,General,,https://www.acquisition.gov/far/22.201,2094
22.202,section,22,22.2,Contract clause,,https://www.acquisition.gov/far/22.202,752
22.300,section,22,22.3,Scope of subpart,,https://www.acquisition.gov/far/22.300,514
22.301,section,22,22.3,Statutory requirement,,https://www.acquisition.gov/far/22.301,321
22.302,section,22,22.3,Liquidated damages and overtime pay,,https://www.acquisition.gov/far/22.302,1964
22.303,section,22,22.3,Administration and enforcement,,https://www.acquisition.gov/far/22.303,182
22.304,section,22,22.3,"Variations, tolerances, and exemptions",,https://www.acquisition.gov/far/22.304,560
22.305,section,22,22.3,Contract clause,,https://www.acquisition.gov/far/22.305,1021
22.400,section,22,22.4,Scope of subpart,,https://www.acquisition.gov/far/22.400,391
22.401,section,22,22.4,Definitions,,https://www.acquisition.gov/far/22.401,6682
22.402,section,22,22.4,Applicability,,https://www.acquisition.gov/far/22.402,3911
22.403,section,22,22.4,"Statutory, Executive Order, and regulatory requirements",,https://www.acquisition.gov/far/22.403,0
22.403-1,section,22,22.4,Construction Wage Rate Requirements statute,,https://www.acquisition.gov/far/22.403-1,563
22.403-2,section,22,22.4,Copeland Act,,https://www.acquisition.gov/far/22.403-2,810
22.403-3,section,22,22.4,Contract Work Hours and Safety Standards,,https://www.acquisition.gov/far/22.403-3,410
22.403-4,section,22,22.4,Executive Orders 13658 and 14026,,https://www.acquisition.gov/far/22.403-4,748
22.403-5,section,22,22.4,Executive Order 13706,,https://www.acquisition.gov/far/22.403-5,187
22.403-6,section,22,22.4,Department of Labor regulations involving construction,,https://www.acquisition.gov/far/22.403-6,1922
22.404,section,22,22.4,Construction Wage Rate Requirements statute wage determinations,,https://www.acquisition.gov/far/22.404,586
22.404-1,section,22,22.4,Types of wage determinations,,https://www.acquisition.gov/far/22.404-1,2440
22.404-2,section,22,22.4,General requirements,,https://www.acquisition.gov/far/22.404-2,3046
22.404-3,section,22,22.4,Procedures for requesting wage determinations,,https://www.acquisition.gov/far/22.404-3,2371
22.404-4,section,22,22.4,Solicitations issued without wage determinations for the primary site of the work,,https://www.acquisition.gov/far/22.404-4,792
22.404-5,section,22,22.4,Expiration of project wage determinations,,https://www.acquisition.gov/far/22.404-5,4382
22.404-6,section,22,22.4,Modifications of wage determinations,,https://www.acquisition.gov/far/22.404-6,6487
22.404-7,section,22,22.4,Correction of wage determinations containing clerical errors,,https://www.acquisition.gov/far/22.404-7,754
22.404-8,section,22,22.4,Notification of improper wage determination before award,,https://www.acquisition.gov/far/22.404-8,1768
22.404-9,section,22,22.4,Award of contract without required wage determination,,https://www.acquisition.gov/far/22.404-9,976
22.404-10,section,22,22.4,Posting wage determinations and notice,,https://www.acquisition.gov/far/22.404-10,661
22.404-11,section,22,22.4,Wage determination appeals,,https://www.acquisition.gov/far/22.404-11,424
22.404-12,section,22,22.4,Labor standards for contracts containing construction requirements and option provisions that extend the term of the contract,,https://www.acquisition.gov/far/22.404-12,4640
22.405,section,22,22.4,[Reserved],,https://www.acquisition.gov/far/22.405,0
22.406,section,22,22.4,Administration and enforcement,,https://www.acquisition.gov/far/22.406,0
22.406-1,section,22,22.4,Policy,,https://www.acquisition.gov/far/22.406-1,1241
22.406-2,section,22,22.4,"Wages, fringe benefits, and overtime",,https://www.acquisition.gov/far/22.406-2,3242
22.406-3,section,22,22.4,Additional classifications,,https://www.acquisition.gov/far/22.406-3,3248
22.406-4,section,22,22.4,Apprentices and trainees,,https://www.acquisition.gov/far/22.406-4,634
22.406-5,section,22,22.4,Subcontracts,,https://www.acquisition.gov/far/22.406-5,252
22.406-6,section,22,22.4,Payrolls and statements,,https://www.acquisition.gov/far/22.406-6,2596
22.406-7,section,22,22.4,Compliance checking,,https://www.acquisition.gov/far/22.406-7,1297
22.406-8,section,22,22.4,Investigations,,https://www.acquisition.gov/far/22.406-8,6383
22.406-9,section,22,22.4,Withholding from or suspension of contract payments,,https://www.acquisition.gov/far/22.406-9,3018
22.406-10,section,22,22.4,Disposition of disputes concerning construction contract labor standards enforcement,,https://www.acquisition.gov/far/22.406-10,2482
22.406-11,section,22,22.4,Contract terminations,,https://www.acquisition.gov/far/22.406-11,521
22.406-12,section,22,22.4,Cooperation with the Department of Labor,,https://www.acquisition.gov/far/22.406-12,819
22.406-13,section,22,22.4,Semiannual enforcement reports,,https://www.acquisition.gov/far/22.406-13,676
22.407,section,22,22.4,Solicitation provision and contract clauses,,https://www.acquisition.gov/far/22.407,3251
22.501,section,22,22.5,Scope of subpart,,https://www.acquisition.gov/far/22.501,206
22.502,section,22,22.5,Definitions,,https://www.acquisition.gov/far/22.502,823
22.503,section,22,22.5,Policy,,https://www.acquisition.gov/far/22.503,2762
22.504,section,22,22.5,General requirements for project labor agreements,,https://www.acquisition.gov/far/22.504,3768
22.505,section,22,22.5,Solicitation provision and contract clause,,https://www.acquisition.gov/far/22.505,1219
22.601,section,22,22.6,[Reserved],,https://www.acquisition.gov/far/22.601,0
22.602,section,22,22.6,Statutory requirements,,https://www.acquisition.gov/far/22.602,720
22.603,section,22,22.6,Applicability,,https://www.acquisition.gov/far/22.603,439
22.604,section,22,22.6,Exemptions,,https://www.acquisition.gov/far/22.604,0
22.604-1,section,22,22.6,Statutory exemptions,,https://www.acquisition.gov/far/22.604-1,730
22.604-2,section,22,22.6,Regulatory exemptions,,https://www.acquisition.gov/far/22.604-2,1276
22.605,section,22,22.6,Rulings and interpretations of the statute,,https://www.acquisition.gov/far/22.605,1731
22.606,section,22,22.6,[Reserved],,https://www.acquisition.gov/far/22.606,0
22.607,section,22,22.6,[Reserved],,https://www.acquisition.gov/far/22.607,0
22.608,section,22,22.6,Procedures,,https://www.acquisition.gov/far/22.608,626
22.609,section,22,22.6,[Reserved],,https://www.acquisition.gov/far/22.609,0
22.610,section,22,22.6,Contract clause,,https://www.acquisition.gov/far/22.610,209
22.800,section,22,22.8,Scope of subpart,,https://www.acquisition.gov/far/22.800,128
22.801,section,22,22.8,Definitions,,https://www.acquisition.gov/far/22.801,2977
22.802,section,22,22.8,General,,https://www.acquisition.gov/far/22.802,2026
22.803,section,22,22.8,Responsibilities,,https://www.acquisition.gov/far/22.803,937
22.804,section,22,22.8,Affirmative action programs,,https://www.acquisition.gov/far/22.804,0
22.804-1,section,22,22.8,Nonconstruction,,https://www.acquisition.gov/far/22.804-1,595
22.804-2,section,22,22.8,Construction,,https://www.acquisition.gov/far/22.804-2,1714
22.805,section,22,22.8,Procedures,,https://www.acquisition.gov/far/22.805,5415
22.806,section,22,22.8,Inquiries,,https://www.acquisition.gov/far/22.806,360
22.807,section,22,22.8,Exemptions,,https://www.acquisition.gov/far/22.807,5691
22.808,section,22,22.8,Complaints,,https://www.acquisition.gov/far/22.808,424
22.809,section,22,22.8,Enforcement,,https://www.acquisition.gov/far/22.809,997
22.810,section,22,22.8,Solicitation provisions and contract clauses,,https://www.acquisition.gov/far/22.810,2236
22.901,section,22,22.9,Policy,,https://www.acquisition.gov/far/22.901,896
22.902,section,22,22.9,Handling complaints,,https://www.acquisition.gov/far/22.902,325
22.1000,section,22,22.1,Scope of subpart,,https://www.acquisition.gov/far/22.1000,383
22.1001,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1001,1111
22.1002,section,22,22.1,Statutory and Executive order requirements,,https://www.acquisition.gov/far/22.1002,0
22.1002-1,section,22,22.1,General,,https://www.acquisition.gov/far/22.1002-1,343
22.1002-2,section,22,22.1,Wage determinations based on prevailing rates,,https://www.acquisition.gov/far/22.1002-2,369
22.1002-3,section,22,22.1,Wage determinations based on collective bargaining agreements,,https://www.acquisition.gov/far/22.1002-3,1469
22.1002-4,section,22,22.1,Application of the Fair Labor Standards Act minimum wage,,https://www.acquisition.gov/far/22.1002-4,239
22.1002-5,section,22,22.1,Executive Orders 13658 and 14026,,https://www.acquisition.gov/far/22.1002-5,749
22.1002-6,section,22,22.1,Executive Order 13706,,https://www.acquisition.gov/far/22.1002-6,187
22.1003,section,22,22.1,Applicability,,https://www.acquisition.gov/far/22.1003,0
22.1003-1,section,22,22.1,General,,https://www.acquisition.gov/far/22.1003-1,548
22.1003-2,section,22,22.1,Geographical coverage of the Act,,https://www.acquisition.gov/far/22.1003-2,229
22.1003-3,section,22,22.1,Statutory exemptions,,https://www.acquisition.gov/far/22.1003-3,834
22.1003-4,section,22,22.1,"Administrative limitations, variations, tolerances, and exemptions",,https://www.acquisition.gov/far/22.1003-4,15129
22.1003-5,section,22,22.1,Some examples of contracts covered,,https://www.acquisition.gov/far/22.1003-5,1306
22.1003-6,section,22,22.1,Repair distinguished from remanufacturing of equipment,,https://www.acquisition.gov/far/22.1003-6,3243
22.1003-7,section,22,22.1,Questions concerning applicability of the Service Contract Labor Standards statute,,https://www.acquisition.gov/far/22.1003-7,323
22.1004,section,22,22.1,Department of Labor responsibilities and regulations,,https://www.acquisition.gov/far/22.1004,996
22.1005,section,22,22.1,[Reserved],,https://www.acquisition.gov/far/22.1005,0
22.1006,section,22,22.1,Solicitation provisions and contract clauses,,https://www.acquisition.gov/far/22.1006,7511
22.1007,section,22,22.1,Requirement to obtain wage determinations,,https://www.acquisition.gov/far/22.1007,730
22.1008,section,22,22.1,Procedures for obtaining wage determinations,,https://www.acquisition.gov/far/22.1008,0
22.1008-1,section,22,22.1,Obtaining wage determinations,,https://www.acquisition.gov/far/22.1008-1,2870
22.1008-2,section,22,22.1,Successorship with incumbent contractor collective bargaining agreement,,https://www.acquisition.gov/far/22.1008-2,6221
22.1009,section,22,22.1,Place of performance unknown,,https://www.acquisition.gov/far/22.1009,0
22.1009-1,section,22,22.1,General,,https://www.acquisition.gov/far/22.1009-1,328
22.1009-2,section,22,22.1,Attempt to identify possible places of performance,,https://www.acquisition.gov/far/22.1009-2,401
22.1009-3,section,22,22.1,All possible places of performance identified,,https://www.acquisition.gov/far/22.1009-3,784
22.1009-4,section,22,22.1,All possible places of performance not identified,,https://www.acquisition.gov/far/22.1009-4,2440
22.1010,section,22,22.1,Notification to interested parties under collective bargaining agreements,,https://www.acquisition.gov/far/22.1010,1268
22.1011,section,22,22.1,[Reserved],,https://www.acquisition.gov/far/22.1011,0
22.1012,section,22,22.1,Applicability of revisions to wage determinations,,https://www.acquisition.gov/far/22.1012,0
22.1012-1,section,22,22.1,Prevailing wage determinations,,https://www.acquisition.gov/far/22.1012-1,2941
22.1012-2,section,22,22.1,Wage determinations based on collective bargaining agreements,,https://www.acquisition.gov/far/22.1012-2,2443
22.1013,section,22,22.1,Review of wage determination,,https://www.acquisition.gov/far/22.1013,1172
22.1014,section,22,22.1,Delay over 60 days in bid opening or commencement of work,,https://www.acquisition.gov/far/22.1014,554
22.1015,section,22,22.1,Discovery of errors by the Department of Labor,,https://www.acquisition.gov/far/22.1015,831
22.1016,section,22,22.1,Statement of equivalent rates for Federal hires,,https://www.acquisition.gov/far/22.1016,980
22.1017,section,22,22.1,[Reserved],,https://www.acquisition.gov/far/22.1017,0
22.1018,section,22,22.1,Notification to contractors and employees,,https://www.acquisition.gov/far/22.1018,1038
22.1019,section,22,22.1,Additional classes of service employees,,https://www.acquisition.gov/far/22.1019,2709
22.1020,section,22,22.1,Seniority lists,,https://www.acquisition.gov/far/22.1020,862
22.1021,section,22,22.1,Request for hearing,,https://www.acquisition.gov/far/22.1021,2314
22.1022,section,22,22.1,Withholding of contract payments,,https://www.acquisition.gov/far/22.1022,1288
22.1023,section,22,22.1,Termination for default,,https://www.acquisition.gov/far/22.1023,320
22.1024,section,22,22.1,Cooperation with the Department of Labor,,https://www.acquisition.gov/far/22.1024,630
22.1025,section,22,22.1,Ineligibility of violators,,https://www.acquisition.gov/far/22.1025,574
22.1026,section,22,22.1,Disputes concerning labor standards,,https://www.acquisition.gov/far/22.1026,215
22.1101,section,22,22.1,Applicability,,https://www.acquisition.gov/far/22.1101,332
22.1102,section,22,22.1,Definition,,https://www.acquisition.gov/far/22.1102,670
22.1103,section,22,22.1,"Policy, procedures, and solicitation provision",,https://www.acquisition.gov/far/22.1103,959
22.1300,section,22,22.1,Scope of subpart,,https://www.acquisition.gov/far/22.1300,471
22.1301,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1301,2952
22.1302,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1302,1649
22.1303,section,22,22.1,Applicability,,https://www.acquisition.gov/far/22.1303,797
22.1304,section,22,22.1,Procedures,,https://www.acquisition.gov/far/22.1304,498
22.1305,section,22,22.1,Waivers,,https://www.acquisition.gov/far/22.1305,1448
22.1306,section,22,22.1,Department of Labor notices and reports,,https://www.acquisition.gov/far/22.1306,869
22.1307,section,22,22.1,Collective bargaining agreements,,https://www.acquisition.gov/far/22.1307,498
22.1308,section,22,22.1,Complaint procedures,,https://www.acquisition.gov/far/22.1308,587
22.1309,section,22,22.1,Actions because of noncompliance,,https://www.acquisition.gov/far/22.1309,449
22.1310,section,22,22.1,Solicitation provision and contract clauses,,https://www.acquisition.gov/far/22.1310,1201
22.1400,section,22,22.1,Scope of subpart,,https://www.acquisition.gov/far/22.1400,355
22.1401,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1401,692
22.1402,section,22,22.1,Applicability,,https://www.acquisition.gov/far/22.1402,611
22.1403,section,22,22.1,Waivers,,https://www.acquisition.gov/far/22.1403,1485
22.1404,section,22,22.1,Department of Labor notices,,https://www.acquisition.gov/far/22.1404,294
22.1405,section,22,22.1,Collective bargaining agreements,,https://www.acquisition.gov/far/22.1405,518
22.1406,section,22,22.1,Complaint procedures,,https://www.acquisition.gov/far/22.1406,443
22.1407,section,22,22.1,Actions because of noncompliance,,https://www.acquisition.gov/far/22.1407,478
22.1408,section,22,22.1,Contract clause,,https://www.acquisition.gov/far/22.1408,712
22.1500,section,22,22.1,Scope,,https://www.acquisition.gov/far/22.1500,90
22.1501,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1501,901
22.1502,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1502,361
22.1503,section,22,22.1,Procedures for acquiring end products on the List of Products Requiring Contractor Certification as to Forced or Indentured Child Labor,,https://www.acquisition.gov/far/22.1503,3601
22.1504,section,22,22.1,Violations and remedies,,https://www.acquisition.gov/far/22.1504,1454
22.1505,section,22,22.1,Solicitation provision and contract clause,,https://www.acquisition.gov/far/22.1505,1378
22.1600,section,22,22.1,Scope of subpart,,https://www.acquisition.gov/far/22.1600,138
22.1601,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1601,280
22.1602,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1602,568
22.1603,section,22,22.1,Exceptions,,https://www.acquisition.gov/far/22.1603,1041
22.1604,section,22,22.1,Compliance evaluation and complaint investigations and sanctions for violations,,https://www.acquisition.gov/far/22.1604,993
22.1605,section,22,22.1,Contract clause,,https://www.acquisition.gov/far/22.1605,793
22.1700,section,22,22.1,Scope of subpart,,https://www.acquisition.gov/far/22.1700,200
22.1701,section,22,22.1,Applicability,,https://www.acquisition.gov/far/22.1701,419
22.1702,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1702,5651
22.1703,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1703,9479
22.1704,section,22,22.1,Violations and remedies,,https://www.acquisition.gov/far/22.1704,3757
22.1705,section,22,22.1,Solicitation provision and contract clause,,https://www.acquisition.gov/far/22.1705,850
22.1800,section,22,22.1,Scope,,https://www.acquisition.gov/far/22.1800,302
22.1801,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1801,2047
22.1802,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1802,3424
22.1803,section,22,22.1,Contract clause,,https://www.acquisition.gov/far/22.1803,804
22.1900,section,22,22.1,Scope of subpart,,https://www.acquisition.gov/far/22.1900,379
22.1901,section,22,22.1,Definitions,,https://www.acquisition.gov/far/22.1901,1843
22.1902,section,22,22.1,Policy,,https://www.acquisition.gov/far/22.1902,1377
22.1903,section,22,22.1,Applicability,,https://www.acquisition.gov/far/22.1903,2811
22.1904,section,22,22.1,Annual Executive Order Minimum Wage Rate,,https://www.acquisition.gov/far/22.1904,2825
22.1905,section,22,22.1,Enforcement of Executive Order Minimum Wage Requirements,,https://www.acquisition.gov/far/22.1905,4785
22.1906,section,22,22.1,Contract clause,,https://www.acquisition.gov/far/22.1906,324
